,drug,drug_name
12019847,CAV012,Cavafix 16G 45 cm (358)                           
12019889,CUPT01,Cuprimine Cap 250 mg                         
12019898,CUPT01,*(c)Cuprimine Cap 250 mg                          
12021098,LAST01,*Off Auto*Lasix   Tab   40   mg                   
12021100,CHAT01,*Off Auto*Chalkcap-835                            
12021102,FOLT02,*Off Auto*Folivit Tab 5 mg                        
12021335,GLYT02,Glycon Tab 80 mg                             
12021688,RHIL02,*(c)Rhinex Syrup  60 ml                           
12021692,RHIL02,*(c)Rhinex Syrup  60 ml
12021966,PYRT02,Pyrimine Tab 60 mg                           
12023145,CLOT07,*Off Auto*Clopidogrel Tab 75 mg                   
12023684,MULT01,Multivitamin Tab                     
12023892,URST02,*Off Auto*Ursolin Cap 250 mg                      
12024150,GLUT03,Glucobay Tab 50 mg                           
12024151,GLUT03,*(c)Glucobay Tab 50 mg
12024152,GLUT03,*(c)Glucobay Tab 50 mg                            
12024157,DALT01,*(c)Dalacin-C Cap 150 mg
12024520,ALLT01,*Off Auto*Allopurinol Tab 100 mg                  
12025071,LEU001,"Leukostrip 2876 3/10x1 1/2""                  "
12025109,NEOE02,Neotica Balm 60 g                            
12025230,ANAT03,*Off Auto*ANapril Tab 5 mg                        
12025756,CONT03,Controloc Tab 40 mg                          
12025757,CONT03,*(c)Controloc Tab 40 mg
12026054,DORT02,*(c)Dorner Tab 20 mcg                             
12026179,BEST02,*Off Auto*Bestatin TAB   40   MG.                 
12026235,CORT04,*(c)Corpril   Cap   2.5 mg
12027048,ARAT01,Aratac Tab 200 mg                         
12027472,TAMT02,Tamoplex Tab 20 mg (X)T0002                  
12027473,MIRT03,*Off Auto*Mirax M Tab 10 mg
12027479,TAMT02,*(c)Tamoplex Tab 20 mg (X)T0002                   
12028070,SIAT07,*Off Auto*Siamox Cap 500 mg  ( Amoxycillin )      
12028071,KLAT01,*Off Auto*Klacid Tab 250 mg                       
12028876,GPOT11,*Off Auto*GPO-A-Flu Cap 75 mg                     
12028921,SOLI03,*(c)Solu-MEDrol Inj 125 Mg
12029473,INTI11,Intralipid 20% 250 ml                     
12030101,NEUI03,Neutromax Inj 300 mcg (X)N0006               
12030792,URI003,Urine Collector                              
12031109,CLAT05,*Off Auto*Claron Tab 500 mg                       
12031171,PROT12,*Off Auto*Prograf Cap 1 mg                        
12031253,MXLJSTSNPM,Stent [Coronary] Presillion  /           
12031334,REST02,Rescuvolin Tab 15 mg(X)R0009                 
12031398,KLAI01,KlaCid  IV 500 mg                                 
12032249,RENT02,Renitec Tab 5 mg                             
12032776,ACTT06,*(c)Actonel Tab 35 mg                             
12032829,TIMT01,Timazol Tab 5 mg                             
12033746,BROT01,*Off Auto*Bronmycin Cap 100 mg                    
12033804,BANE02,Capsika Gel 35 g                          
12035285,MXCAQLSE,Aqualine set /                   
12036318,NAUT01,*Off Auto*Nausil Tab 10 mg ( Mepamide tab.)    
12037085,PER001,Peritoneal Dialysis Set                   
12037485,SERT06,Seroquel Tab   100  mg                            
12037488,SERT06,*(c)Seroquel Tab   100  mg                        
12037548,VILE01,Vilerm Cream 1 g                             
12037579,ETHT02,*(c)Ethambutol Tab 500 mg
12039106,VILT01,Vilerm Tab   400   mg                
12039107,COTT01,Co-Trimoxazole Tab                   
12039108,ONSI02,Onsia Inj 8 mg                       
12039109,RECI03,"Recormon PFS 10,000 IU (X)R0001      "
12039113,RECI02,"Recormon PFS 5,000 IU                     "
12039542,KABI01,Kabiven PI 1000Kcal  1440 ml              
12039552,GANT01,Ganaton Tab 50 mg                            
12039566,GANT01,*(c)Ganaton Tab 50 mg
12039568,KABI01,*(c)Kabiven PI 1000Kcal  1440 ml          
12039569,GANT01,*(c)Ganaton Tab 50 mg                             
12039576,MXSPCS201B,Celsite Port ST201 [Access port] /       
12039763,VERT05,Veraplex Tab 500 mg                          
12040059,IMDT01,*Off Auto*Imdur CR Tab 60 mg                      
12040060,ADAT04,Adalat CR Tab 30 mg                          
12040070,HART03,Harnal OCAS Tab 0.4 mg                       
12040089,IMDT01,*(c)Imdur CR Tab 60 mg
12040443,APRT04,*(c)Aprovel Tab 150 mg                            
12042766,MXOSOMIBYT,"S.O.M.I. Brace [S,M,L] /                    "
12042790,SULT01,*Off Auto*Sulidine Tab                            
12042794,SULT01,*(c)Sulidine Tab
12043404,NAPT01,*(c)Naprosian Tab 250 mg
12043564,PLALX1,Plain Mouth Wash 500 ml                      
12043965,ACCT01,Accupril Tab 20 mg                           
12043990,ACCT01,*(c)Accupril Tab 20 mg                            
12043993,AMAT02,*(c)Amaryl Tab 2 mg
12044725,CLAI02,Claforan Inj 1 g                          
12044731,CLAI02,*(c)Claforan Inj 1 g                      
12045409,CALT07,*Off Auto*Caltab-1500                             
12045983,FELT03,Felodipin Stada    10   mg                        
12046412,OCTI05,Octreotide Hospira Inj 100 mcg               
12047038,MXEYSA6255,SA60AT Intraocular lens 25.5 /        
12047103,AIRT01,*Off Auto*Air-X Tab                               
12047235,FULT01,*Off Auto*Fulox Tab 20 mg                         
12047502,NSSI01,NSS 1000 ml                                  
12047528,MULT01,*Off Auto*Multivitamin Tab                        
12047529,LANT01,*Off Auto*Digoxin Tab 0.25 mg   *HAD*             
12047530,EUTT01,*Off Auto*Euthyrox Tab 50 mcg                     
12047532,ALPT01,*Off Auto*Alpha-D3 Cap 0.25 mcg                   
12047692,ANTI09,Anthracin Inj 50 mg  (X)A0035*Chemo*         
12048072,MXSCNPKJ,Cranioplastic Kit  /                     
12048453,CIPI01,Ciprobay  Inj  100  mg/50 ml                      
12048539,HYDT03,*Off Auto*Hydrochlorothiazide Tab 50 mg (HCTZ)    
12049007,VITT14,Vitalux Plus Tab                                  
12049008,ALPE02,Alphagan-P 0.15% Eye Drop 5 ml               
12049066,AMPI02,Ampicillin Inj 1 g                        
12049182,SUGT01,*Off Auto*Sugril Tab 5 mg                         
12049942,NIZEX1,Nizoral Eye Drop                             
12050066,FENT03,*Off Auto*Fenafex Tab 180 mg                      
12050157,MXEYEOP215,Eye-O-Care PH55  IOL 21.5 /    
12050167,MXEYEOP215,Eye-O-Care PH55  IOL 21.5 /
12050307,FERT01,*Off Auto*Ferli-6 Tab
12050400,FURT01,Furosemide Tab 40 mg                      
12050412,FURT01,*(c)Furosemide Tab 40 mg                  
12050434,LAMT05,*Off Auto*Lamivudine Tab 150 mg                   
12050985,ELA004,"Elastic Bandage 4""x5yds                      "
12051015,DILT02,*(c)Dilantin Infatab 50 mg                
12051016,XANT03,*(c)Xanidine Tab 150 mg                   
12051738,CART04,*(c)Cardiprin-100 Tab
12051771,HYDC02,Hydrogen Peroxide 6% 450 ml  (stock)              
12051774,HYDEX2,Hydrogen Peroxide 3% 450 ml               
12054073,OXYI03,Oxylim 50 mg/ml 10 ml                             
12054081,OXYI02,Oxytocin Inj 10 u                         
12054664,MYFT02,Myfortic Tab 360 mg                          
12056059,CEFT01,*(c)Cefspan Cap 100 mg                            
12056076,CEFT01,*(c)Cefspan Cap 100 mg
12056136,EIFT01,*(c)Eifcof-G Tab 15 mg
12056137,MADT03,*(c)Madiplot Tab 20 mg
12057936,MXMCSSS2BH,Coseal surgical sealant 2 ml./ 
12058075,QUI003,Quinton Tenchkof (Curl) Catheter                  
12061413,FLUL02,Fluimucil    200   MG.                    
12061416,LIOT01,Lioresal Tab 10 mg                        
12062416,ONST01,Onsia   Tab *  4   mg                        
12062424,KAOL02,Kaopectal Susp 60 ml                         
12062433,DECT02,*(c)Decaquinon Tab 10 mg                          
12062443,LEFI01,Lefloxin  *Inj 500 mg                        
12062448,LEFI01,*(c)Lefloxin  *Inj 500 mg                         
12062452,LEFI01,*(c)Lefloxin  *Inj 500 mg
12064168,URI005,Urinovolumeter 300 ml                        
12064813,SOMI03,Somazina Inj 1000 mg                              
12065000,CERT02,Certican Tab  0.25  mg                       
12065446,DEXI07,*Off Auto*Dexasone Inj 5 mg/ml                    
12066130,MEFT01,*Off Auto*Mefec Tab 250 mg                        
12066133,MEFT01,*(c)Mefec Tab 250 mg
12066380,BEST01,*Off Auto*Bestatin Tab   20   mg                  
12066402,LAST02,*Off Auto*Lasix   TAB   500   MG.                 
12066951,FYBL01,*Off Auto*Fybogel 3.5 g                           
12066952,DAFT02,*Off Auto*Daflon 500 Tab                          
12066959,DAFT02,*(c)Daflon 500 Tab
12066968,LORT02,*Off Auto*Lora Tab 0.5 mg                         
12067196,KETT01,*(c)Ketazon Tab 200 mg
12067294,PRIT01,Primaquine Tab 15 mg                         
12067308,PRIT01,*(c)Primaquine Tab 15 mg                          
12067325,SAMT02,SamNir Cap 100 mg                                 
12067680,MERT02,*(c)Mertigo Tab 6 mg                              
12067837,ARAT01,*Off Auto*Aratac Tab 200 mg                       
12068049,MAFT02,*Off Auto*Maforan Tab 3 mg *HAD*     
12068301,ZYRT01,Zyrtec Tab 10 mg                             
12068356,MXCEIMRARE,Edwards IMR/MC3 annuloplasty ring 
12068358,MEM002,Membrane Oxygenator (adult)                  
12068359,EXT003,Extracoporeal Tube (adult)                   
12068360,BUB002,Bubble Trap 150 ml                           
12068362,PTMF72,"Pressure Tubing M/F 72""                      "
12068364,PTD001,Pressure Transducer Set                      
12068374,MXCEIMRARE,Edwards IMR/MC3 annuloplasty ring /   
12068378,NOVI01,Novoseven 1.2 mg                                  
12070248,PROT02,*(c)Propranolol *TAB. 40 MG.
12071414,ROMT01,Romilar Tab                               
12072003,MORI01,*(c)Morphine Sulfate Inj 10 mg   *HAD*
12072013,AMII09,AmiParen-10 500 ml                           
12072019,AMII09,*(c)AmiParen-10 500 ml                            
12072031,AMII09,*(c)AmiParen-10 500 ml
12072340,XANT03,*Off Auto*Xanidine Tab 150 mg                     
12072343,MINI01,Minirin (ddavp) Inj 1 ml                     
12072351,EUTT02,*Off Auto*Euthyrox Tab 100 mcg                    
12072352,MINI01,*(c)Minirin (ddavp) Inj 1 ml                      
12072355,EUTT02,*(c)Euthyrox Tab 100 mcg
12072861,GOUT01,*Off Auto*Goutichine Tab 0.6 mg                   
12073085,ACTI02,Actilyse IV 50 mg                         
12073148,PROT10,Proscar Tab 5 mg                             
12073175,MIS001,Misty Nebulizer                              
12073182,PROT10,*(c)Proscar Tab 5 mg
12074111,MXEYEP5195,EP 525A Intraocular lens 19.5 /   
12074120,MXOCFFBNV,Comfort Form Back /               
12074198,GLUT01,*Off Auto*Glucophage Tab 500 mg                   
12074435,MXEYEOP230,Eye-O-Care PH55  IOL 23.0 /            
12074545,MXEYR6160,Rohto RE 06F Intraocular Lens 16.0 /        
12074637,ZYME01,Zymar 0.3% Eye Drops 5 ml                         
12074694,NORT10,*Off Auto*NorVasc Tab 10 mg                       
12074695,METT07,*Off Auto*Metoprolol  200  Stada *TAB.            
12074865,RESE01,Restasis 0.05% Eye Drops (32 x 0.4 ml)            
12075092,URIT02,*(c)Uricad Tab 300 mg
12075393,BISL01,Bisolvon Elixir 60 ml (4 mg/5 ml)            
12076919,MXEYSN6205,SN60WF Intraocular lens 20.5 /        
12076949,MXEYSN6235,SN60WF Intraocular lens 23.5 /        
12077261,NORT08,*Off Auto*Norfcin Tab 400 mg                      
12077264,MXEYEOP210,Eye-O-Care PH55  IOL 21.0 /            
12077634,XELT02,*Off Auto*Xeloda Tab 500 mg (X)X0002              
12077635,XELT02,*Off Auto*Xeloda Tab 500 mg (X)X0002
12078010,DORI01,Dormicum  INJ.  15 mg/3 ml   *HAD*                
12078166,INTI16,Intaxel Inj 100 mg  (X)I0007*Chemo*          
12078170,INTI15,Intaxel Inj 30 mg/5 ml  (X)I0006*Chemo*      
12078171,KEMI01,Kemocarb Inj 150 mg/15 ml (X)K0001  *Chemo*  
12078799,XANT01,Xanax Tab 0.25 mg                            
12078947,NORT09,*Off Auto*NorVasc Tab 5 mg                        
12078948,MEVT03,*Off Auto*Mevalotin Protect Tab 40 mg             
12078950,FART01,*Off Auto*Farlutal Tab 500 mg (X)F0002            
12079221,CEFI07,*Off Auto*Cef-4 Inj 1 g                           
12079225,VITT07,*Off Auto*Vitamin B-complex Tab                   
12080369,MYFT02,*(c)Myfortic Tab 360 mg
12081546,TRIT11,*Off Auto*Tripta  *TAB.   25    MG.               
12081559,CALT08,*(c)Calcit SG Cap 0.25 mcg                        
12083019,PROT06,Provera Tab 5 mg                             
12083032,PROT06,*(c)Provera Tab 5 mg                              
12083037,PROT06,*(c)Provera Tab 5 mg
12083158,DOCI03,Docetaxel Inj 20 mg   ()              
12083159,DOCI04,Docetaxel Inj 80 mg  ()               
12083162,DAXI01,Daxotel Inj 20 mg (X)D0008 *Chemo*                
12083163,DAXI02,Daxotel Inj 80 mg  (X)*Chemo*                     
12084212,DIST03,*Off Auto*Disol Tab 8 mg                          
12084281,ZIMT01,*(c)Zimmex Tab 10 mg
12084313,DOUT01,*Off Auto*Douzabox Tab
12085258,MXLGICDL,AICD Lead /                          
12085742,MXEYOEP235,Eye-O-Care PH55  IOL 23.5 /            
12086016,ONSI02,*Off Auto*Onsia Inj 8 mg                          
12086058,SIN001,Single Lumen Catheter 14G 20 cm              
12086459,DEPT01,*(c)Depakine Tab 200 mg
12086466,DOZT02,*Off Auto*Dozozin-4 Tab                           
12086469,DOZT02,*(c)Dozozin-4 Tab
12086760,CAV012,Cavafix 16G 45 cm (358)                      
12087292,MERT02,*(c)Mertigo Tab 6 mg
12087448,OXI001,Oxisensor II N-25 (Nellcor)                       
12087529,DAKEX1,Dakin's Solution 450 ml                      
12087538,DAKEX1,*(c)Dakin's Solution 450 ml                       
12090912,RESI04,Rescuvolin Inj 300 mg(X)C0050             
12091116,LOXT01,*(c)Loxonin Tab 60 mg (NSAID)                     
12091126,LOXT01,*(c)Loxonin Tab 60 mg (NSAID)
12091142,PART06,*(c)Pariet Tab 20 mg                              
12091283,DICT01,Dichlotride Tab 50 mg                        
12091588,NEXI01,Nexium IV 40 mg                           
12091605,NEXI01,*(c)Nexium IV 40 mg                       
12094745,DEXI06,*(c)Dextrose 50% Inj 50 ml                        
12094746,DEXI06,*(c)Dextrose 50% Inj 50 ml
12094912,ZITL01,Zithromax Susp 15 ml                         
12095172,OPS005,*(c)Opsite Incise 45cm x 55cm                     
12095175,OPS005,*(c)Opsite Incise 45cm x 55cm             
12096597,VOLI01,Voltaren Inj 75 mg/3 ml                           
12096652,AUGT01,*Off Auto*Augmentin Tab 375 mg                    
12096653,AUGT01,*Off Auto*Augmentin Tab 375 mg
12096946,FAZI01,*Off Auto*Fazolin Inj 1 g                         
12097166,FURT02,*Off Auto*Furoxime Tab 250 mg                     
12097169,NURT02,*Off Auto*Nurofen Caplet 400 mg                   
12097172,SUMT01,*Off Auto*Sumidin Tab 5 mg                        
12097308,DANT01,*Off Auto*Danzen Tab                              
12097753,MXCMNPVM,Magna CE-Pericardial valve [Mitral] / 
12097772,URET02,*Off Auto*Uretic Tab                              
12098018,URST02,*(c)Ursolin Cap 250 mg                    
12098147,MXEYEOS220,Eye-O-Care SF65  IOL 22.0 /            
12098325,SAMT02,SamNir Cap 100 mg                            
12098334,SAMT02,*(c)SamNir Cap 100 mg                             
12098897,SERT06,Seroquel Tab   100  mg                       
12098899,SERT06,*(c)Seroquel Tab   100  mg
12098906,RIST02,*(c)Risperdal Quicklet 1 mg                       
12098940,PRET08,*Off Auto*PrednisoLone Tab 5 mg                   
12099048,AMLT01,*Off Auto*AmLOpine   Tab     5   mg               
12099485,FART01,Farlutal Tab 500 mg (X)F0002                 
12100086,NELT01,*Off Auto*Nelapine Cap 5 mg                       
12100914,MXEYTFZ195,Tecnis ZA9003 Intraocular lens 19.5 /     
12101946,DIXT01,*Off Auto*Dixocillin Cap 250 mg                   
12102068,CYTT01,Cytotec Tab 200 mcg                       
12103493,HALI03,Halomed Inj 5 mg/ml                          
12103494,TETI01,Tetanus Toxoid 0.5 ml                        
12103496,NSSI02,NSS 100 ml                                   
12103501,HALI02,Haldol *Inj *5 mg/ml                         
12103573,BAC001,*Off Auto*Bactigras 10cm x 10cm                   
12103578,BAC001,*(c)Bactigras 10cm x 10cm                         
12103581,BAC001,*(c)Bactigras 10cm x 10cm
12105435,CUPT01,*Off Auto*Cuprimine Cap 250 mg                    
12105443,CUPT01,*(c)Cuprimine Cap 250 mg
12105530,GENI01,*Off Auto*Gentamicin Inj 80 mg                    
12105727,DOST02,*(c)Dosanac Tab 50 mg                     
12105993,POLT03,*Off Auto*Polytanol Tab 25 mg                     
12106886,NURT02,*(c)Nurofen Caplet 400 mg                 
12107417,POLT02,*(c)Polytanol Tab 10 mg                   
12107421,MORLX3,Morphine Syr 20 mg/ml (30 ml)             
12108609,UNIE01,Unison Enema   10   ml                    
12110519,CEFI08,*(c)CefXitin Inj 1 g
12110561,VEST01,Vesanoid Cap 10 mg  ** (X)V0003                  
12112980,NEUT05,*(c)Neuromet Tab 500 mcg
12113173,NIMI01,Nimotop IV 10 mg/50 ml                       
12113198,NIMT01,*Off Auto*Nimotop Tab 30 mg                       
12113454,PRET06,*Off Auto*Prenolol Tab 50 mg                      
12113462,SIAT01,*Off Auto*Siamformet Tab 500 mg  ()      
12113463,DIPT01,*Off Auto*Dipazide Tab 5 mg **           
12114426,FLUT05,*Off Auto*Flucozole  CAP.  200   MG.              
12114801,MOBT01,Mobic Tab 7.5 mg                          
12114830,MICT03,MicarDis Tab 80 mg                           
12114832,BETT01,Betaloc Tab 100 mg                           
12114905,BETT01,*(c)Betaloc Tab 100 mg
12115575,MYDT01,*Off Auto*Mydocalm Tab                            
12115815,SOLI03,Solu-MEDrol Inj 125 Mg                    
12115916,VILT03,*Off Auto*Vilerm Tab 200 mg                       
12116811,HALT06,Halomed Tab 5 mg                             
12117033,NEXT01,*Off Auto*Nexium Tab 20 mg                        
12117401,VITI09,*Off Auto*Vitamin    B-complex   Inj 1 ml         
12117628,DILT01,*Off Auto*Dilantin Kapseal 100 mg                 
12117631,DILT01,*Off Auto*Dilantin Kapseal 100 mg            
12117906,TEGT02,*(c)Tegretol CR Tab 200 mg
12117907,NEUT06,*(c)Neurontin Cap 300 mg
12118076,TRO002,Trocars 10/12 mm (512sd)                  
12118349,MXEYVTIF23,ILM Forceps Tip 23 Ga./               
12118620,PRET14,*Off Auto*Prenolol Tab 25 mg                      
12118626,PART06,Pariet Tab 20 mg                             
12119064,ZOLT01,Zoloft Tab 50 mg                             
12119070,CODT04,Co-Diovan   TAB.   (160/25)                  
12119084,ZOLT01,*(c)Zoloft Tab 50 mg
12119087,CODT04,*(c)Co-Diovan   TAB.   (160/25)
12119089,DIOT02,Diovan Tab 160 mg                            
12119092,FENE01,Fentanyl GPO TTS 12 mcg/hr                   
12119108,DIOT02,*(c)Diovan Tab 160 mg
12119137,ZINT02,*(c)Zincaps 110 mg
12119138,MAGT03,*Off Auto*Magoral Cap 140 mg                      
12119160,SIFT01,*(c)Sifrol Tab 0.25 mg
12119845,ZITT02,*Off Auto*Zithromax Cap 250 mg                    
12119876,IDAT01,Idarac Tab 200 mg                                 
12120132,OSST02,*(c)Ossopan Tab 800 mg                            
12120533,IRET01,Iressa Tab 250 mg   (X)I0012              
12120666,METI08,Methotrexate Inj 1000 mg  (X)M0010*Chemo* 
12120707,CELT01,*(c)Cellcept Cap 250 mg                           
12120711,CELT01,Cellcept Cap 250 mg                          
12120718,CELT01,*Off Auto*Cellcept Cap 250 mg                     
12121390,VILT01,*Off Auto*Vilerm Tab   400   mg                   
12121557,CISI02,Cisplatin Inj 50 mg  (X)C0020*Chemo*         
12121558,CISI01,Cisplatin Inj 10 mg  (X)C0018 *Chemo*        
12121874,FURI01,Furoxime Inj 750 mg                          
12122143,DUPT01,*(c)Duphaston Tab 10 mg                           
12122394,DIAT03,*Off Auto*Diazepam  *TAB. 5  MG.                  
12123536,ENCT01,*(c)Encephabol Tab                                
12124124,ULST02,*Off Auto*Ulsanic Tab 1 g                         
12124534,CEFT02,Cephalexyl Cap 500 mg                        
12126240,DILI01,*Off Auto*Dilantin Inj 250 mg/5 ml                
12126262,NIMI01,*(c)Nimotop IV 10 mg/50 ml                        
12126266,NIMI01,*(c)Nimotop IV 10 mg/50 ml
12126347,GERT01,*(c)Geriatric Pharmaton Cap                       
12126375,RIFT03,*(c)Rifampicin Tab 600 mg
12126376,CART04,*Off Auto*Cardiprin-100 Tab                       
12126382,OFLT01,*(c)Ofloxin Tab 100 mg
12126860,SOLI02,*(c)Solu-MEDrol Inj 40 mg                         
12126866,SOLI02,*(c)Solu-MEDrol Inj 40 mg
12126882,LONT02,Loniten Tab 5 mg                             
12126885,APRT03,*Off Auto*Apresoline Tab 25 mg                    
12126889,CERT03,Certican Tab  0.5  mg                        
12126910,CERT02,*(c)Certican Tab  0.25  mg                        
12126916,CERT02,*(c)Certican Tab  0.25  mg
12127478,CIPT01,*(c)Ciprobay Tab 250 mg
12128102,PRIT05,*(c)Prima-Cal Plus D Caplet                       
12128103,URST01,*(c)Ursofalk Cap 250 mg                           
12128441,MED004,*Off Auto*Suction Tube                            
12128442,MED003,*Off Auto*Suction Container Bag                   
12128825,CHLT03,*Off Auto*ChlorpheniraMine Tab 4 mg               
12128906,RULT01,*(c)Rulid Tab 150 mg                              
12128907,AMPI02,*Off Auto*Ampicillin Inj 1 g                      
12129039,ELA016,"*Off Auto*Easifix Cohesive 3""                     "
12129208,SERT02,*(c)Serc Tab 16 mg                                
12129377,GRIT03,Grisflavin Tab 500 mg                        
12130137,EUTT01,*(c)Euthyrox Tab 50 mcg
12130184,SIBT01,Sibelium Cap 5 mg                                 
12130187,SIBT01,*(c)Sibelium Cap 5 mg                             
12130192,SIBT01,*(c)Sibelium Cap 5 mg
12130193,NEUT07,*(c)Neurontin Cap 100 mg
12130263,ORKT01,*Off Auto*Orkelax Tab                             
12130960,RIFT01,*(c)Rifampicin Cap 300 mg
12131699,PRIT03,*Off Auto*Primolut-N Tab 5 mg                     
12132102,KLIT01,*Off Auto*Klinda RX Tab 300 mg                    
12132323,SANI04,Sandostatin Inj 1 mg/5 ml                         
12132336,MAGI01,*Off Auto*Magnesium Sulfate 50% Inj 2  ml   *HAD* 
12132472,SULT02,Sulfadiazine Tab 500 mg                      
12132473,SULT02,*(c)Sulfadiazine Tab 500 mg                       
12132667,MXEYSA6185,SA60AT Intraocular lens 18.5 /        
12132749,LORT04,*Off Auto*Lorita Tab 10 mg ()               
12132863,PGSI01,P.G.S. 1 mu                               
12133118,TUBI01,Tuberculin PPD (10 doses)                         
12133135,RIFT05,Rifinah Cap     150   mg                          
12133139,RIFT05,*(c)Rifinah Cap     150   mg                      
12133319,MXEYTFZ260,Tecnis ZA9003 Intraocular lens 26.0 
12133418,MXEYEOPH55,Eye-O-Care PH55  IOL  /        
12133420,MXEYEOPH55,Eye-O-Care PH55  IOL  /
12133422,MXEYEOPH55,Eye-O-Care PH55  IOL  /                
12133878,SENT01,*Off Auto*Senokot Tab
12133879,LANT01,*Off Auto*Digoxin Tab 0.25 mg   *HAD*
12133880,FURT01,*Off Auto*Furosemide Tab 40 mg
12134462,AMII07,AminoSOl- 10  500 ml                      
12134466,CALI03,Calcium Gluconate 10%   Inj  10 ml        
12134492,INTI02,Intralipid    *20%   500   ml             
12134514,INTI02,*(c)Intralipid    *20%   500   ml         
12134517,OMVI01,OMVI (otsuka mv injection)                
12134518,ADDI01,Addamel-N IV 10 ml                        
12134533,AMII07,*(c)AminoSOl- 10  500 ml                  
12134534,INTI11,*(c)Intralipid 20% 250 ml                 
12134535,POTI01,*(c)Potassium Chloride *INJ   20meq       
12134536,MAGI01,*(c)Magnesium Sulfate 50% Inj 2  ml   *HAD
12134537,CALI03,*(c)Calcium Gluconate 10%   Inj  10 ml    
12134540,ZEFI01,*(c)Zefxon Inj 40 mg                      
12134541,OMVI01,*(c)OMVI (otsuka mv injection)            
12134542,ADDI01,*(c)Addamel-N IV 10 ml                    
12140020,VACT01,*(c)Vacopan Tab 10 mg
12140024,HIZT02,*Off Auto*Hizin Tab 25 mg                         
12140025,HIZT02,*Off Auto*Hizin Tab 25 mg
12140223,POTL_1,*(c)Potassium Cl.(conc)  240ml    Mixt
12141078,GARI01,Gardenal Inj 200 mg                               
12141582,MXEYEOS245,Eye-O-Care SF65  IOL 24.5 /            
12141702,ALBI02,Albutein 25% 50 ml                           
12143333,INVI01,*Off Auto*Invanz Inj 1 g                          
12143491,BEFT03,*Off Auto*Befarin Tab 4 mg   *HAD*       
12143563,BAL001,Syringe Ball () No.5                
12143566,NATT03,Natrilix SR Tab 1.5 mg                       
12143750,ARM002,Arm-sling size S                             
12145001,DILT04,*Off Auto*Dilatrend Tab 6.25 mg                   
12145041,CASLX1,Castor Oil 30 ml                             
12146518,AIRT01,*Off Auto*Air-X Tab
12146537,TRAI02,*Off Auto*Transamin Inj 250 mg/5 ml               
12148755,RYTL01,Rythocin Dry Syrup (125 mg/5 ml) 60 ml            
12148823,SWIL02,Swiff Sol 45 ml                              
12148886,MIAI01,Miacalcic Inj 50 iu/ml                            
12148898,AMIT01,*(c)Aminophylline Tab 100 mg
12154083,BIOI03,*Off Auto*Biogyl Inj 500 mg                       
12155283,ASK003,Hydro-gel Dressing (Askina) 20cm x 20cm      
12155284,HYP001,Hypafix 5cm x10m                             
12155335,SIN001,Single Lumen Catheter 14G 20 cm           
12156772,HYDT02,*(c)Hydrea Cap 500 mg (X)H0007
12158180,SIRT01,*(c)Sirdalud Tab 4 mg
12159304,PRET16,*Off Auto*Prevacid FDT 30 mg                      
12159305,PROT01,*Off Auto*Propranolol Tab 10 mg                   
12159447,DORI01,Dormicum  INJ.  15 mg/3 ml   *HAD*           
12159493,PRET11,*Off Auto*Prenarpil Tab 0.5 mg                    
12161139,SANT02,*(c)Sandimmun Neoral 100 mg                       
12161140,SANT01,*(c)Sandimmun Neoral 25 mg                        
12161352,ASME01,Asmasal SDU 2.5 ml                           
12162798,ZINI01,*Off Auto*Zinacef Inj 750 mg                 
12162929,DIST03,*(c)Disol Tab 8 mg
12162940,TYLT01,*(c)Tylenol w/ Codeine 15mg Tab           
12163257,DILT02,*Off Auto*Dilantin Infatab 50 mg                  
12164532,BIST02,*Off Auto*Bisolvon Tab 8 mg                       
12164538,COMT04,Comtan Tab 200 mg                            
12164604,ATRE02,Atropine  EYE  Drop  1%   5 ml               
12164641,MXEYTFZ205,Tecnis ZA9003 Intraocular lens 20.5 
12164648,MXEYSN6020,SN60WF Intraocular lens 20.0 /        
12164867,MXSUTTXLB,Ultratome XL 3 lumen #  /                  
12165129,PLALX1,*(c)Plain Mouth Wash 500 ml                       
12165783,MXEYEP5235,EP 525A Intraocular lens 23.5 /           
12166228,SOLI04,*Off Auto*Solu-MEDrol Inj 500 MG                  
12166612,CVC007,CVC 3 Lumens (Triple Lumens) 7FR 20 cm       
12166998,STOE02,Stomahesive powder 1 oz                      
12167665,DIAT07,*Off Auto*Diamox Tab 250 mg                       
12167803,MXSPEEAXL,DST Series EEA [XL] 25mm./                  
12167818,PTMM60,"Pressure Tubing M/M 60""                   "
12168292,MXEYTFZ230,Tecnis ZA9003 Intraocular lens 23.0 /     
12168403,NAVT01,*Off Auto*Navamin Tab 50 mg                       
12168447,NUET02,*Off Auto*Nuelin SR Tab 200 mg                    
12168448,FLUL02,*Off Auto*Fluimucil    200   MG.                  
12169356,CIPI01,Ciprobay  Inj  100  mg/50 ml                 
12169371,CIPI01,*(c)Ciprobay  Inj  100  mg/50 ml                  
12169372,CIPI01,*(c)Ciprobay  Inj  100  mg/50 ml
12169377,ALBI04,*(c)Albutein 25%  100 ml                          
12169398,ALBI04,*(c)Albutein 25%  100 ml
12169412,MAXI01,Maxipime Inj 1 g                             
12169415,MAXI01,*(c)Maxipime Inj 1 g                              
12169421,MAXI01,*(c)Maxipime Inj 1 g
12173567,MORLX3,Morphine Syr 20 mg/ml (30 ml)                     
